parent                 n    skew  ex.kurt      KS  95% t-cov
uniform(0,1)           2   0.000   -0.596  0.0172     0.9256
uniform(0,1)           5   0.003   -0.225  0.0056     0.9345
uniform(0,1)          30   0.007   -0.053  0.0033     0.9501
uniform(0,1)         100   0.010    0.012  0.0023     0.9506
uniform(0,1)        1000   0.002   -0.006  0.0021     0.9509
exponential(1)         2   1.403    2.898  0.0956     0.9104
exponential(1)         5   0.910    1.256  0.0620     0.8836
exponential(1)        30   0.375    0.211  0.0269     0.9278
exponential(1)       100   0.196    0.039  0.0151     0.9430
exponential(1)      1000   0.048    0.021  0.0035     0.9506
lognormal(0,1)         2   4.301   43.980  0.1648     0.8952
lognormal(0,1)         5   2.714   16.944  0.1178     0.8227
lognormal(0,1)        30   1.159    3.680  0.0604     0.8818
lognormal(0,1)       100   0.623    0.987  0.0367     0.9186
lognormal(0,1)      1000   0.188    0.084  0.0126     0.9436
bernoulli(p=0.05)      2   2.904    7.406  0.5296     0.0956
bernoulli(p=0.05)      5   1.860    3.090  0.4698     0.2258
bernoulli(p=0.05)     30   0.750    0.478  0.2159     0.7851
bernoulli(p=0.05)    100   0.420    0.188  0.1151     0.8760
bernoulli(p=0.05)   1000   0.133    0.003  0.0373     0.9428
done in 4.6s
